fymon,pending,removal,granted,other_closure,terminate,volunt_depart,pros_discretion
2000-10,21,1932,1617,225,350,636,15
2000-11,23,1821,1513,249,277,489,7
2000-12,20,1589,1454,183,281,433,15
2001-01,18,1744,1591,176,260,458,5
2001-02,12,1731,1449,193,292,510,19
2001-03,21,2021,1886,223,335,776,29
2001-04,35,2002,1939,209,323,676,13
2001-05,16,2185,1982,209,365,937,21
2001-06,13,1902,1927,199,330,1258,20
2001-07,8,1890,1757,182,327,837,23
2001-08,34,2256,2356,222,346,1562,37
2001-09,9,1474,1457,160,241,747,15
2001-10,15,2192,1834,215,298,776,23
2001-11,26,2057,1868,212,344,851,26
2001-12,18,2036,1906,205,339,934,27
2002-01,20,2264,1989,204,391,1054,26
2002-02,15,2241,1917,197,343,640,21
2002-03,17,2441,2143,206,470,1076,43
2002-04,24,2316,2120,149,421,1001,31
2002-05,14,2298,2009,184,421,1048,48
2002-06,34,1890,1906,158,352,1195,34
2002-07,25,2459,2093,221,359,1272,46
2002-08,19,2215,1983,165,414,1205,42
2002-09,17,2067,1809,189,377,807,18
2002-10,27,2256,2177,199,382,1032,25
2002-11,17,1956,1719,129,346,759,29
2002-12,15,1883,1701,145,354,642,20
2003-01,23,2041,1805,184,367,728,24
2003-02,17,1706,1489,151,314,518,20
2003-03,27,1936,1741,171,338,619,26
2003-04,24,2260,2010,183,441,736,29
2003-05,25,2030,1865,171,398,726,28
2003-06,31,1959,1809,271,436,628,24
2003-07,22,1972,1787,217,454,718,28
2003-08,18,1812,1678,204,477,607,35
2003-09,22,1741,1563,160,372,615,23
2003-10,24,1968,1583,197,416,600,12
2003-11,15,1538,1368,153,341,523,18
2003-12,29,1730,1491,178,418,475,24
2004-01,22,1641,1468,219,390,512,26
2004-02,14,1598,1351,222,401,430,18
2004-03,28,1710,1557,160,402,518,26
2004-04,24,1546,1308,181,351,514,18
2004-05,24,1494,1384,149,326,508,21
2004-06,21,1628,1422,171,399,444,21
2004-07,36,1871,1487,144,464,460,24
2004-08,26,1623,1623,219,404,532,29
2004-09,29,1457,1462,140,381,373,22
2004-10,25,1559,1498,166,387,446,19
2004-11,21,1330,1368,242,370,342,28
2004-12,8,1403,1283,142,311,336,13
2005-01,22,1426,1518,160,299,360,17
2005-02,10,1199,1140,127,267,282,13
2005-03,30,1578,1631,158,366,423,23
2005-04,25,1377,1408,131,343,328,19
2005-05,29,1317,1503,169,322,375,17
2005-06,23,1453,1618,236,383,398,36
2005-07,24,1149,1231,182,292,316,17
2005-08,21,1542,1565,312,525,334,34
2005-09,33,1375,1368,192,509,342,26
2005-10,17,1347,1380,185,595,347,32
2005-11,16,1145,1292,219,354,256,33
2005-12,26,1277,1251,178,366,290,24
2006-01,33,1207,1355,212,292,257,36
2006-02,31,1261,1354,211,312,268,30
2006-03,30,1421,1674,244,378,315,31
2006-04,29,1323,1429,220,480,289,46
2006-05,33,1356,1573,194,485,288,44
2006-06,31,1447,1593,254,561,335,33
2006-07,35,1399,1329,206,518,277,29
2006-08,31,1434,1366,282,838,311,27
2006-09,39,1662,1573,440,997,408,73
2006-10,45,1551,1802,413,669,390,109
2006-11,36,1353,1657,351,419,374,128
2006-12,33,1103,1216,223,298,256,65
2007-01,50,1275,1445,255,435,367,81
2007-02,49,1143,1239,321,343,279,67
2007-03,38,1507,1499,349,420,363,70
2007-04,63,1383,1443,306,499,401,113
2007-05,42,1325,1517,398,415,384,159
2007-06,42,1356,1524,334,442,324,119
2007-07,50,1174,1505,288,354,308,175
2007-08,61,1335,1568,418,495,321,153
2007-09,44,1211,1530,344,466,314,138
2007-10,43,1445,1646,322,495,355,146
2007-11,33,847,1110,209,268,203,100
2007-12,23,721,1013,168,255,163,94
2008-01,48,873,1331,179,320,229,95
2008-02,45,807,1325,196,312,213,115
2008-03,49,1016,1512,240,354,214,118
2008-04,43,1165,1655,233,374,290,144
2008-05,50,1062,1470,273,395,249,164
2008-06,52,964,1555,224,362,247,135
2008-07,43,1092,1611,293,396,258,143
2008-08,57,1027,1510,284,351,222,122
2008-09,61,1172,1543,253,353,240,135
2008-10,57,1108,1753,247,436,258,151
2008-11,22,793,1112,166,298,165,115
2008-12,46,816,1111,207,298,155,107
2009-01,57,819,1157,203,250,173,106
2009-02,50,776,1219,231,313,185,131
2009-03,51,871,1411,203,332,224,135
2009-04,59,809,1201,186,337,192,111
2009-05,35,796,1263,174,292,193,136
2009-06,57,760,1413,251,372,191,96
2009-07,72,820,1671,202,382,151,133
2009-08,59,673,1264,197,322,168,123
2009-09,66,761,1565,216,330,162,185
2009-10,49,718,1133,170,271,160,119
2009-11,44,581,1096,143,240,131,107
2009-12,44,603,1238,173,270,121,127
2010-01,63,595,1149,164,264,136,117
2010-02,61,560,1147,174,292,120,138
2010-03,95,777,1687,179,366,176,142
2010-04,76,710,1205,179,312,151,186
2010-05,88,680,1188,168,299,137,141
2010-06,109,645,1323,187,313,175,195
2010-07,105,668,1467,167,333,123,185
2010-08,112,729,1577,199,312,156,205
2010-09,83,624,1275,244,270,158,203
2010-10,99,705,1346,214,298,156,207
2010-11,87,638,1047,234,272,155,224
2010-12,105,678,1389,167,296,156,213
2011-01,130,779,1521,257,323,160,243
2011-02,141,752,1270,266,370,165,247
2011-03,176,1019,1720,295,426,212,285
2011-04,156,865,1552,277,354,191,324
2011-05,174,887,1494,304,355,180,310
2011-06,176,891,1595,305,419,186,365
2011-07,145,698,1338,229,339,143,327
2011-08,227,896,1611,357,456,209,384
2011-09,189,887,1551,315,429,175,377
2011-10,205,783,1436,312,385,149,353
2011-11,174,754,1246,281,286,179,273
2011-12,231,728,1263,257,319,153,312
2012-01,246,881,1439,311,361,205,346
2012-02,255,888,1386,300,389,209,363
2012-03,287,916,1553,380,397,190,440
2012-04,269,866,1469,369,458,162,434
2012-05,394,995,1506,428,476,209,466
2012-06,303,812,1246,339,366,167,408
2012-07,318,713,1330,299,386,123,380
2012-08,401,940,1513,477,446,194,470
2012-09,333,730,1298,386,370,155,361
2012-10,306,899,1400,432,429,172,418
2012-11,306,729,1080,317,302,145,327
2012-12,295,731,905,325,308,144,367
2013-01,383,917,1344,456,391,141,526
2013-02,349,819,1208,397,334,143,426
2013-03,398,796,1097,352,345,136,375
2013-04,455,979,1236,369,397,152,445
2013-05,455,1059,1242,417,372,161,439
2013-06,448,1015,1262,367,387,161,393
2013-07,382,870,880,302,294,138,310
2013-08,445,988,942,370,321,169,418
2013-09,496,1066,1029,358,352,149,399
2013-10,424,936,857,240,203,139,314
2013-11,438,957,937,338,274,132,368
2013-12,420,957,896,314,248,116,404
2014-01,462,1063,899,333,311,147,439
2014-02,494,1020,906,322,309,131,404
2014-03,558,1117,939,391,366,172,489
2014-04,509,1155,863,404,273,175,435
2014-05,468,995,715,345,219,134,398
2014-06,737,1273,1365,484,379,165,499
2014-07,839,1450,1534,454,359,198,590
2014-08,685,1269,1222,404,315,160,466
2014-09,839,1447,1442,489,369,193,609
2014-10,966,1594,1356,545,388,183,510
2014-11,972,1408,1420,502,329,158,473
2014-12,845,1510,1253,414,355,130,327
2015-01,857,1440,1237,479,345,156,265
2015-02,859,1502,1317,392,371,127,295
2015-03,946,1761,1248,419,396,173,247
2015-04,1131,1992,1373,499,361,148,219
2015-05,949,1764,1118,482,332,143,206
2015-06,1269,1974,1345,556,405,199,238
2015-07,1349,1872,1333,593,382,196,239
2015-08,1137,1654,1272,454,350,154,264
2015-09,1357,2171,1226,575,413,220,280
2015-10,1475,2101,1249,677,323,203,237
2015-11,1113,1787,985,475,325,140,170
2015-12,1159,1909,1135,481,336,131,202
2016-01,1126,1863,1040,503,360,156,230
2016-02,1410,2053,1241,683,347,162,195
2016-03,1651,2614,1513,693,375,189,315
2016-04,1643,2384,1506,666,337,171,194
2016-05,1820,2720,1626,716,393,211,161
2016-06,1996,3363,1546,808,400,258,140
2016-07,1702,2832,1415,700,331,224,112
2016-08,2095,3165,1416,824,319,207,93
2016-09,2946,3624,1649,1021,478,278,97
2016-10,3044,3864,1746,1134,431,269,82
2016-11,3423,3968,1689,1177,489,314,107
2016-12,3042,3530,1429,993,411,338,64
2017-01,3044,3552,1464,982,371,322,37
2017-02,3271,3613,1625,1011,382,331,33
2017-03,4319,4381,1749,1217,531,336,37
2017-04,4291,3935,1635,1148,478,335,41
2017-05,5503,4765,1965,1353,626,347,44
2017-06,5214,4585,1777,1463,653,354,29
2017-07,5021,4049,1592,1331,543,332,27
2017-08,6619,4422,1689,1655,770,370,28
2017-09,5843,3580,1480,1613,616,324,34
2017-10,7223,4306,1474,1844,598,392,31
2017-11,6890,3892,1377,1641,554,314,27
2017-12,6402,3426,1425,1438,515,316,23
2018-01,6080,3059,1431,1367,552,318,33
2018-02,5392,2800,1255,1354,516,284,19
2018-03,5834,2977,1546,1569,610,351,33
2018-04,6005,3037,1629,1495,582,351,22
2018-05,6990,3167,1552,1772,629,346,34
2018-06,7002,2563,1579,1790,510,316,34
2018-07,6525,2632,1517,1675,473,288,22
2018-08,7916,3235,2082,1986,558,335,32
2018-09,7352,2587,1710,1772,484,291,29
2018-10,9758,3490,1959,2448,641,388,34
2018-11,8149,2916,1627,1982,517,317,29
2018-12,6674,2547,1294,1599,448,211,31
2019-01,6302,2443,1111,1208,402,268,19
2019-02,10259,3641,1914,2229,710,359,37
2019-03,9806,3925,1625,2252,662,288,28
2019-04,11350,4466,1832,2558,715,337,35
2019-05,10469,4959,1916,2402,741,366,40
2019-06,9194,4165,1528,2010,582,290,42
2019-07,10598,4528,1638,2158,696,364,40
2019-08,11390,4717,1763,2333,765,350,39
2019-09,10008,4429,1474,2006,778,277,41
2019-10,13247,5369,1765,2414,831,314,43
2019-11,11335,3840,1590,2335,638,217,47
2019-12,11279,3411,1485,2189,708,232,47
2020-01,13846,3473,1522,2583,782,224,39
2020-02,15380,2599,1119,2675,813,193,21
2020-03,13330,1773,746,2038,694,136,28
2020-04,7903,895,403,1115,431,80,14
2020-05,9979,791,382,1290,419,93,17
2020-06,10192,757,339,1172,388,55,15
2020-07,9815,652,359,1131,367,70,24
2020-08,10860,692,290,1335,397,56,18
2020-09,5852,522,220,770,260,49,14
2020-10,6092,517,211,765,213,51,17
2020-11,5412,422,167,761,219,50,19
2020-12,5342,468,179,739,238,33,14
2021-01,6122,422,226,873,252,37,14
2021-02,5228,424,174,664,174,26,8
2021-03,7345,491,175,851,280,34,8
2021-04,5940,389,156,641,201,29,13
2021-05,5585,365,142,611,182,16,9
2021-06,6500,392,190,552,177,28,4
2021-07,6638,377,183,548,161,28,5
2021-08,6393,415,247,570,162,19,5
2021-09,6796,651,307,576,147,19,4
2021-10,6992,903,388,532,136,37,7
2021-11,7673,1209,623,619,126,31,16
2021-12,8469,1280,646,651,122,64,5
2022-01,8824,1232,615,679,140,37,25
2022-02,11114,1326,705,724,109,53,12
2022-03,18409,1867,764,1086,221,62,11
2022-04,25073,1779,782,1443,242,81,17
2022-05,22471,1953,557,874,116,79,11
2022-06,26165,1680,437,721,124,83,13
2022-07,26861,1354,332,484,60,48,6
2022-08,31863,980,214,421,85,68,6
2022-09,29035,671,103,277,73,51,4
2022-10,30095,337,77,216,36,28,2
2022-11,27638,85,15,123,23,11,0
